Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code,COM,TYP_IRIS,MODIF_IRIS,LAB_IRIS,P19_POP
 Avenue Jean Moulin,5.0,87400,87400003,45.83253,1.49798,E10,SAINT-LéONARD-DE-NOBLAT,1.5295263157894738,871610101,87161,H,0,4,2373.0
 Avenue Jean Moulin,6.0,87400,87400003,45.83253,1.49798,SP98,SAINT-LéONARD-DE-NOBLAT,1.6005428571428573,871610101,87161,H,0,4,2373.0
 Avenue Louis Sallenave,1.0,64000,64000009,43.32001,-0.36039,Gazole,PAU,1.4061309523809522,644450204,64445,H,0,1,3596.80320646388
 Avenue Louis Sallenave,2.0,64000,64000009,43.32001,-0.36039,SP95,PAU,1.5057432432432434,644450204,64445,H,0,1,3596.80320646388
 Avenue Louis Sallenave,5.0,64000,64000009,43.32001,-0.36039,E10,PAU,1.459679012345679,644450204,64445,H,0,1,3596.80320646388
 Avenue Louis Sallenave,6.0,64000,64000009,43.32001,-0.36039,SP98,PAU,1.5421298701298702,644450204,64445,H,0,1,3596.80320646388
305/309 BD DE LA PAIX,1.0,64000,64000015,43.32251327,-0.367980462579,Gazole,PAU,1.5220335195530728,644450204,64445,H,0,1,3596.80320646388
305/309 BD DE LA PAIX,5.0,64000,64000015,43.32251327,-0.367980462579,E10,PAU,1.5650810055865922,644450204,64445,H,0,1,3596.80320646388
305/309 BD DE LA PAIX,6.0,64000,64000015,43.32251327,-0.367980462579,SP98,PAU,1.6750810055865923,644450204,64445,H,0,1,3596.80320646388
 Avenue Marie Curie,1.0,12150,12150004,44.32524,3.06544,Gazole,SéVéRAC-LE-CHâTEAU,1.4289384615384615,122700000,12270,Z,0,5,4069.0
 Avenue Marie Curie,5.0,12150,12150004,44.32524,3.06544,E10,SéVéRAC-LE-CHâTEAU,1.4660363636363636,122700000,12270,Z,0,5,4069.0
 Avenue Marie Curie,6.0,12150,12150004,44.32524,3.06544,SP98,SéVéRAC-LE-CHâTEAU,1.5298222222222224,122700000,12270,Z,0,5,4069.0
