Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur,iris_code
CHEMIN DU VASAIS DE MILLET,1.0,85360,85360001,46.3503423218,-1.43004618419,Gazole,LA TRANCHE-SUR-MER,1.7598965517241378,852940000
CHEMIN DU VASAIS DE MILLET,3.0,85360,85360001,46.3503423218,-1.43004618419,E85,LA TRANCHE-SUR-MER,1.1316315789473683,852940000
CHEMIN DU VASAIS DE MILLET,5.0,85360,85360001,46.3503423218,-1.43004618419,E10,LA TRANCHE-SUR-MER,1.8194262295081969,852940000
CHEMIN DU VASAIS DE MILLET,6.0,85360,85360001,46.3503423218,-1.43004618419,SP98,LA TRANCHE-SUR-MER,1.888890909090909,852940000
CHEMIN DÉPARTEMENTAL 51 - AIRE DES BRÉCHÈRES,1.0,77340,77340005,48.79236,2.61848,Gazole,Pontault-Combault,1.9232225609756095,773730402
CHEMIN DÉPARTEMENTAL 51 - AIRE DES BRÉCHÈRES,3.0,77340,77340005,48.79236,2.61848,E85,Pontault-Combault,1.0983323170731707,773730402
CHEMIN DÉPARTEMENTAL 51 - AIRE DES BRÉCHÈRES,4.0,77340,77340005,48.79236,2.61848,GPLc,Pontault-Combault,0.979,773730402
CHEMIN DÉPARTEMENTAL 51 - AIRE DES BRÉCHÈRES,5.0,77340,77340005,48.79236,2.61848,E10,Pontault-Combault,1.947085626911315,773730402
CHEMIN DÉPARTEMENTAL 51 - AIRE DES BRÉCHÈRES,6.0,77340,77340005,48.79236,2.61848,SP98,Pontault-Combault,2.018883211678832,773730402
CHEMIN JEAN DE BOUC,1.0,13120,13120009,43.464352929618,5.486375014722499,Gazole,Gardanne,1.8966666666666667,130410103
CHEMIN JEAN DE BOUC,3.0,13120,13120009,43.464352929618,5.486375014722499,E85,Gardanne,1.174,130410103
CHEMIN JEAN DE BOUC,5.0,13120,13120009,43.464352929618,5.486375014722499,E10,Gardanne,1.97,130410103
CHEMIN JEAN DE BOUC,6.0,13120,13120009,43.464352929618,5.486375014722499,SP98,Gardanne,2.02,130410103
CHEMIN MAILHEAUX,1.0,31270,31270003,43.525,1.323,Gazole,FROUZINS,1.7854166666666669,312030102
CHEMIN MAILHEAUX,2.0,31270,31270003,43.525,1.323,SP95,FROUZINS,1.8775,312030102
CHEMIN MAILHEAUX,6.0,31270,31270003,43.525,1.323,SP98,FROUZINS,1.901823529411765,312030102
CHEMIN ST ANNE,1.0,6460,6460002,43.698,6.841,Gazole,Saint-Vallier-de-Thiey,1.8356697247706424,061300000
CHEMIN ST ANNE,3.0,6460,6460002,43.698,6.841,E85,Saint-Vallier-de-Thiey,1.0261363636363636,061300000
