Adresse,PrixID,CodePostal,ID,Latitude,Longitude,PrixNom,Ville,PrixValeur
route de Bagnères,5.0,65310,65310001,4320600.0,7200.0,E10,LALOUBERE,1.8671933333333335
route de Bagnères,6.0,65310,65310001,4320600.0,7200.0,SP98,LALOUBERE,1.9304485294117646
route de Bazas ZI dumes,1.0,33210,33210008,4454200.0,-24200.0,Gazole,LANGON,1.756622950819672
route de Bazas ZI dumes,2.0,33210,33210008,4454200.0,-24200.0,SP95,LANGON,1.8668723404255319
route de Bazas ZI dumes,5.0,33210,33210008,4454200.0,-24200.0,E10,LANGON,1.8190857142857142
route de Bazas ZI dumes,6.0,33210,33210008,4454200.0,-24200.0,SP98,LANGON,1.912872093023256
"route de Belfort, Champ Caen",1.0,70200,70200008,4767600.0,652300.0,Gazole,LURE,1.8027117117117117
"route de Belfort, Champ Caen",2.0,70200,70200008,4767600.0,652300.0,SP95,LURE,1.8534146341463413
"route de Belfort, Champ Caen",3.0,70200,70200008,4767600.0,652300.0,E85,LURE,1.0213636363636363
"route de Belfort, Champ Caen",5.0,70200,70200008,4767600.0,652300.0,E10,LURE,1.80989898989899
route de Bellegarde,1.0,01710,1710001,4622700.0,599300.0,Gazole,THOIRY,1.828108108108108
route de Bellegarde,5.0,01710,1710001,4622700.0,599300.0,E10,THOIRY,1.868082191780822
route de Bellegarde,6.0,01710,1710001,4622700.0,599300.0,SP98,THOIRY,1.9483552631578946
route de Bort,1.0,63690,63690002,4556000.0,262000.0,Gazole,Tauves,1.9203103448275862
route de Bort,2.0,63690,63690002,4556000.0,262000.0,SP95,Tauves,1.9959473684210527
route de Brignoles,1.0,83570,83570001,4347373.0,617634.0,Gazole,Carcès,1.8024358974358974
route de Brignoles,2.0,83570,83570001,4347373.0,617634.0,SP95,Carcès,1.8930555555555557
route de Brignoles,5.0,83570,83570001,4347373.0,617634.0,E10,Carcès,1.8542432432432432
route de Brive,1.0,46500,46500003,4478700.0,172000.0,Gazole,Gramat,1.7774536082474228
route de Brive,2.0,46500,46500003,4478700.0,172000.0,SP95,Gramat,1.871642857142857
route de Brive,3.0,46500,46500003,4478700.0,172000.0,E85,Gramat,1.0262692307692307
route de Brive,5.0,46500,46500003,4478700.0,172000.0,E10,Gramat,1.818112359550562
route de Brive,6.0,46500,46500003,4478700.0,172000.0,SP98,Gramat,1.9030799999999999
route de Caen,1.0,14540,14540001,4914011.63603,-30050.8505075,Gazole,SOLIERS,1.79693893129771
route de Caen,2.0,14540,14540001,4914011.63603,-30050.8505075,SP95,SOLIERS,1.9058468468468468
route de Chartres,1.0,28400,28400002,4833137.3870862,83314.261469597,Gazole,Nogent-le-Rotrou,1.7557823529411765
route de Chartres,2.0,28400,28400002,4833137.3870862,83314.261469597,SP95,Nogent-le-Rotrou,1.8441176470588236
route de Chartres,3.0,28400,28400002,4833137.3870862,83314.261469597,E85,Nogent-le-Rotrou,1.0100967741935483
route de Chartres,4.0,28400,28400002,4833137.3870862,83314.261469597,GPLc,Nogent-le-Rotrou,0.8422272727272727
route de Chartres,5.0,28400,28400002,4833137.3870862,83314.261469597,E10,Nogent-le-Rotrou,1.8093676470588236
route de Chartres,6.0,28400,28400002,4833137.3870862,83314.261469597,SP98,Nogent-le-Rotrou,1.8753709677419355
route de Conches,1.0,27160,27160001,4885200.0,92000.0,Gazole,Breteuil,1.8194545454545454
route de Conches,2.0,27160,27160001,4885200.0,92000.0,SP95,Breteuil,1.9124782608695654
route de Conches,5.0,27160,27160001,4885200.0,92000.0,E10,Breteuil,1.874
route de Conches,6.0,27160,27160001,4885200.0,92000.0,SP98,Breteuil,1.9206046511627906
route de Decize,1.0,58340,58340001,4685500.0,364200.0,Gazole,Cercy-la-Tour,1.8439999999999999
route de Decize,2.0,58340,58340001,4685500.0,364200.0,SP95,Cercy-la-Tour,1.9476666666666667
route de Decize,5.0,58340,58340001,4685500.0,364200.0,E10,Cercy-la-Tour,1.92775
route de Decize,6.0,58340,58340001,4685500.0,364200.0,SP98,Cercy-la-Tour,1.9895882352941177
route de Desvres,1.0,62830,62830002,5063900.0,175900.0,Gazole,Samer,1.7576776315789473
route de Desvres,2.0,62830,62830002,5063900.0,175900.0,SP95,Samer,1.8551538461538462
route de Desvres,3.0,62830,62830002,5063900.0,175900.0,E85,Samer,1.0223411764705883
route de Desvres,5.0,62830,62830002,5063900.0,175900.0,E10,Samer,1.8047586206896553
route de LAVAL,1.0,72300,72300006,4785200.0,-35300.0,Gazole,Sablé-sur-Sarthe,1.7507987421383648
route de LAVAL,5.0,72300,72300006,4785200.0,-35300.0,E10,Sablé-sur-Sarthe,1.8245394736842104
route de LAVAL,6.0,72300,72300006,4785200.0,-35300.0,SP98,Sablé-sur-Sarthe,1.9381818181818184
route de Leucate plage,1.0,11370,11370001,4290642.95874,303680.630734,Gazole,LEUCATE,1.798888888888889
route de Leucate plage,5.0,11370,11370001,4290642.95874,303680.630734,E10,LEUCATE,1.8970408163265307
route de Leucate plage,6.0,11370,11370001,4290642.95874,303680.630734,SP98,LEUCATE,1.930078431372549
route de Lillebonne,1.0,76210,76210001,4954700.0,49500.0,Gazole,Gruchet-le-Valasse,1.7845000000000002
route de Lillebonne,5.0,76210,76210001,4954700.0,49500.0,E10,Gruchet-le-Valasse,1.8419385474860335
route de Lillebonne,6.0,76210,76210001,4954700.0,49500.0,SP98,Gruchet-le-Valasse,1.9024742857142856
route de Lorient,1.0,56620,56620001,4783200.0,-340100.0,Gazole,PONT-SCORFF,1.7622913385826773
route de Lorient,5.0,56620,56620001,4783200.0,-340100.0,E10,PONT-SCORFF,1.8083097345132744
route de Lorient,6.0,56620,56620001,4783200.0,-340100.0,SP98,PONT-SCORFF,1.8908514851485148
route de Lyon,1.0,38460,38460002,4572500.0,524800.0,Gazole,CREMIEU,1.7973555555555556
route de Lyon,2.0,38460,38460002,4572500.0,524800.0,SP95,CREMIEU,1.84525
route de Lyon,5.0,38460,38460002,4572500.0,524800.0,E10,CREMIEU,1.8716315789473683
route de Lyon,6.0,38460,38460002,4572500.0,524800.0,SP98,CREMIEU,1.95275
route de Metz,1.0,57580,57580002,4901700.0,638400.0,Gazole,RéMILLY,1.8241612903225806
route de Metz,3.0,57580,57580002,4901700.0,638400.0,E85,RéMILLY,1.05776
route de Metz,5.0,57580,57580002,4901700.0,638400.0,E10,RéMILLY,1.8430192307692308
route de Metz,6.0,57580,57580002,4901700.0,638400.0,SP98,RéMILLY,1.9396666666666667
route de Montfermeil,1.0,77500,77500004,4889216.0,258113.0,Gazole,CHELLES,1.808532110091743
route de Montfermeil,5.0,77500,77500004,4889216.0,258113.0,E10,CHELLES,1.8275921052631579
