ID,Latitude,Longitude,CodePostal,Adresse,Ville,PrixNom,PrixID,PrixValeur.mean
27150002,4930600,161300,27150,1 Rue Turgot,Ã‰trÃ©pagny,SP95,2,1515.0652173913043
27150002,4930600,161300,27150,1 Rue Turgot,Ã‰trÃ©pagny,E10,5,1472.975
27150002,4930600,161300,27150,1 Rue Turgot,Ã‰trÃ©pagny,SP98,6,1554.179487179487
27160001,4885200,92000,27160,route de Conches,Breteuil,Gazole,1,1419.6190476190477
27160001,4885200,92000,27160,route de Conches,Breteuil,SP95,2,1515.4888888888888
27160001,4885200,92000,27160,route de Conches,Breteuil,E10,5,1469.1304347826087
27160001,4885200,92000,27160,route de Conches,Breteuil,SP98,6,1541.9411764705883
27170002,4902978,74290.999999998,27170,Route de Beaumont,Beaumont-le-Roger,Gazole,1,1408.1884057971015
27170002,4902978,74290.999999998,27170,Route de Beaumont,Beaumont-le-Roger,SP95,2,1498.5428571428572
27170002,4902978,74290.999999998,27170,Route de Beaumont,Beaumont-le-Roger,SP98,6,1526.463768115942
27170003,4912300,84700,27170,2 route Nationale 13,Ã‰cardenville-la-Campagne,Gazole,1,1508.6153846153845
27170003,4912300,84700,27170,2 route Nationale 13,Ã‰cardenville-la-Campagne,E10,5,1559.9791666666667
27190002,4895539,94693.999999999,27190,Rue EugÃ¨ne Pottier,Conches-en-Ouche,Gazole,1,1396.3
27190002,4895539,94693.999999999,27190,Rue EugÃ¨ne Pottier,Conches-en-Ouche,SP95,2,1479.157894736842
27190002,4895539,94693.999999999,27190,Rue EugÃ¨ne Pottier,Conches-en-Ouche,E85,3,606.2857142857143
27190002,4895539,94693.999999999,27190,Rue EugÃ¨ne Pottier,Conches-en-Ouche,E10,5,1439
27190002,4895539,94693.999999999,27190,Rue EugÃ¨ne Pottier,Conches-en-Ouche,SP98,6,1508.5333333333333
27190003,4899526.05199,102892.868372,27190,LE CLOS DU LOUP,La Bonneville-sur-Iton,Gazole,1,1429.5238095238096
27190003,4899526.05199,102892.868372,27190,LE CLOS DU LOUP,La Bonneville-sur-Iton,E10,5,1472.857142857143
