ID;Latitude;Longitude;CodePostal;Adresse;Ville;PrixNom;PrixID;PrixValeur,mean;Colonne1
60730004;4929000;220100;60730;180 route nationale 1;Sainte-Genevi̬ve;SP98;6;1718,875;1,718875
60740001;4923885,303;247063,386;60740;RD1016;SAINT-MAXIMIN;Gazole;1;1453,9;1,4539
60740001;4923885,303;247063,386;60740;RD1016;SAINT-MAXIMIN;SP95;2;1540,4;1,5404
60740001;4923885,303;247063,386;60740;RD1016;SAINT-MAXIMIN;GPLc;4;785;0,785
60740001;4923885,303;247063,386;60740;RD1016;SAINT-MAXIMIN;E10;5;1499,6;1,4996
60750003;4944223,32;288295,44;60750;100 rue de royaumont;Choisy-au-Bac;Gazole;1;1464,428571;1,464428571
60750003;4944223,32;288295,44;60750;100 rue de royaumont;Choisy-au-Bac;SP95;2;1590,8;1,5908
60750003;4944223,32;288295,44;60750;100 rue de royaumont;Choisy-au-Bac;SP98;6;1627,444444;1,627444444
60800002;4923366;288727;60800;20 Rue Charles de Gaulle;CR̩PY-EN-VALOIS;Gazole;1;1449,857143;1,449857143
60800002;4923366;288727;60800;20 Rue Charles de Gaulle;CR̩PY-EN-VALOIS;SP95;2;1572,714286;1,572714286
60800002;4923366;288727;60800;20 Rue Charles de Gaulle;CR̩PY-EN-VALOIS;SP98;6;1604,75;1,60475
60800003;4922700;288400;60800;BD KENNEDY;CR̩PY-EN-VALOIS;Gazole;1;1444,681818;1,444681818
60800003;4922700;288400;60800;BD KENNEDY;CR̩PY-EN-VALOIS;SP95;2;1561,809524;1,561809524
60800003;4922700;288400;60800;BD KENNEDY;CR̩PY-EN-VALOIS;SP98;6;1601,85;1,60185
60800005;4922465,943;290549,1376;60800;rue Henri LAROCHE;Cr̩py-en-Valois;Gazole;1;1438,538462;1,438538462
60800005;4922465,943;290549,1376;60800;rue Henri LAROCHE;Cr̩py-en-Valois;SP95;2;1554,916667;1,554916667
60800005;4922465,943;290549,1376;60800;rue Henri LAROCHE;Cr̩py-en-Valois;E85;3;629;0,629
60800005;4922465,943;290549,1376;60800;rue Henri LAROCHE;Cr̩py-en-Valois;E10;5;1513,2;1,5132
60800005;4922465,943;290549,1376;60800;rue Henri LAROCHE;Cr̩py-en-Valois;SP98;6;1589,454545;1,589454545
60800008;4922996;290632;60800;9 Rue Saint-Germain;Cr̩py-en-Valois;Gazole;1;1435,25;1,43525
60800008;4922996;290632;60800;9 Rue Saint-Germain;Cr̩py-en-Valois;SP95;2;1557,875;1,557875
60800008;4922996;290632;60800;9 Rue Saint-Germain;Cr̩py-en-Valois;E10;5;1511,25;1,51125
60800008;4922996;290632;60800;9 Rue Saint-Germain;Cr̩py-en-Valois;SP98;6;1594,5;1,5945
